PO Number,PO Date,Buyer Name,Buyer Email,Purchasing Manager Name,Purchasing Manager Email,Vendor,Item Description,Quantity,Unit Price,Total Amount
PO57084,2025-07-17,Kenneth Atkins,kenneth.atkins@betacorp.com,Nicholas Cannon,nicholas.cannon@deltasup.com,DeltaSupplies,Key Popular,21,93.51,1963.71
PO61272,2025-05-15,Laura Tanner,laura.tanner@betacorp.com,Leslie James,leslie.james@gammaind.com,EpsilonGoods,Economic Soldier,13,55.03,715.39
PO14791,2025-03-15,Chloe Anderson,chloe.anderson@epsilongoods.com,Katherine Lee,katherine.lee@alphatech.com,BetaCorp,Great Professor,36,357.03,12853.08
PO17090,2024-12-14,Chloe Anderson,chloe.anderson@epsilongoods.com,Nicholas Cannon,nicholas.cannon@deltasup.com,GammaIndustries,Cold Son,32,22.52,720.64
PO43589,2024-10-31,Kenneth Atkins,kenneth.atkins@betacorp.com,Leslie James,leslie.james@gammaind.com,EpsilonGoods,Safe Represent,20,100.57,2011.4
PO23151,2025-07-26,Andre Warren,andre.warren@alphatech.com,Terry Peterson,terry.peterson@epsilongoods.com,EpsilonGoods,Score Organization,5,164.02,820.1
PO18624,2024-09-02,Matthew Cunningham,matthew.cunningham@alphatech.com,Katherine Lee,katherine.lee@alphatech.com,GammaIndustries,Money Sense,76,405.49,30817.24
PO44974,2024-10-14,Kenneth Atkins,kenneth.atkins@betacorp.com,Katherine Lee,katherine.lee@alphatech.com,DeltaSupplies,Drop Best,43,436.99,18790.57
PO21340,2025-02-25,Pamela Salazar,pamela.salazar@betacorp.com,Katherine Lee,katherine.lee@alphatech.com,BetaCorp,Several Likely,31,68.74,2130.94
PO95588,2025-02-02,Laura Tanner,laura.tanner@betacorp.com,Katherine Lee,katherine.lee@alphatech.com,AlphaTech,Report Him,28,83.79,2346.12
PO86509,2025-04-28,Helen Perez,helen.perez@deltasup.com,Terry Peterson,terry.peterson@epsilongoods.com,GammaIndustries,Threat Focus,15,322.29,4834.35
PO94976,2025-02-16,Pamela Salazar,pamela.salazar@betacorp.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,AlphaTech,Son Little,74,386.17,28576.58
PO07292,2025-03-12,Brian Edwards,brian.edwards@alphatech.com,Terry Peterson,terry.peterson@epsilongoods.com,BetaCorp,Pressure Face,81,47.73,3866.13
PO27504,2025-05-31,Shannon Smith,shannon.smith@alphatech.com,Terry Peterson,terry.peterson@epsilongoods.com,BetaCorp,Help Attorney,94,351.8,33069.2
PO94651,2024-09-04,Brandon Smith,brandon.smith@alphatech.com,Nicholas Cannon,nicholas.cannon@deltasup.com,EpsilonGoods,Prevent Development,64,95.41,6106.24
PO63313,2024-10-25,Laura Tanner,laura.tanner@betacorp.com,Charles Palmer,charles.palmer@deltasup.com,GammaIndustries,Often Culture,71,88.8,6304.8
PO09055,2024-11-26,Pamela Salazar,pamela.salazar@betacorp.com,Leslie James,leslie.james@gammaind.com,EpsilonGoods,Street Trip,100,175.19,17519.0
PO37128,2024-09-21,Brian Edwards,brian.edwards@alphatech.com,Nicholas Cannon,nicholas.cannon@deltasup.com,AlphaTech,Everything Form,27,415.76,11225.52
PO59613,2025-02-04,Shannon Smith,shannon.smith@alphatech.com,Terry Peterson,terry.peterson@epsilongoods.com,EpsilonGoods,Despite Perhaps,68,109.15,7422.2
PO95458,2024-12-09,Vicki Moon,vicki.moon@betacorp.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,GammaIndustries,National Difference,49,367.85,18024.65
PO44884,2025-07-13,Kayla Sharp,kayla.sharp@gammaind.com,Katherine Lee,katherine.lee@alphatech.com,EpsilonGoods,Behavior Field,95,115.36,10959.2
PO76889,2025-05-06,Helen Perez,helen.perez@deltasup.com,Terry Peterson,terry.peterson@epsilongoods.com,BetaCorp,Thought Upon,69,306.88,21174.72
PO05075,2024-09-13,Matthew Cunningham,matthew.cunningham@alphatech.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,EpsilonGoods,Network Involve,66,291.7,19252.2
PO70470,2025-01-11,Matthew Cunningham,matthew.cunningham@alphatech.com,Leslie James,leslie.james@gammaind.com,BetaCorp,Boy Support,18,456.86,8223.48
PO18147,2024-12-28,Brian Edwards,brian.edwards@alphatech.com,Katherine Lee,katherine.lee@alphatech.com,BetaCorp,Mouth Though,41,16.66,683.06
PO87799,2025-05-14,Chloe Anderson,chloe.anderson@epsilongoods.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,GammaIndustries,Early Support,15,132.29,1984.35
PO97932,2024-12-30,Pamela Salazar,pamela.salazar@betacorp.com,Katherine Lee,katherine.lee@alphatech.com,EpsilonGoods,Their Animal,49,114.01,5586.49
PO25374,2025-04-23,Chloe Anderson,chloe.anderson@epsilongoods.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,GammaIndustries,Particularly Bring,40,269.91,10796.4
PO22904,2025-04-26,Vicki Moon,vicki.moon@betacorp.com,Nicholas Cannon,nicholas.cannon@deltasup.com,BetaCorp,Vote Generation,23,324.42,7461.66
PO28179,2024-08-15,Shannon Smith,shannon.smith@alphatech.com,Katherine Lee,katherine.lee@alphatech.com,GammaIndustries,Hit Happen,83,411.46,34151.18
PO98108,2025-01-03,Brandon Smith,brandon.smith@alphatech.com,Katherine Lee,katherine.lee@alphatech.com,DeltaSupplies,On Best,57,494.91,28209.87
PO63414,2025-02-16,Vicki Moon,vicki.moon@betacorp.com,Katherine Lee,katherine.lee@alphatech.com,DeltaSupplies,Thing Majority,61,56.54,3448.94
PO18171,2025-05-09,Laura Tanner,laura.tanner@betacorp.com,Leslie James,leslie.james@gammaind.com,AlphaTech,Bring What,19,406.75,7728.25
PO81579,2025-07-08,Brandon Smith,brandon.smith@alphatech.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,BetaCorp,Forward Feeling,67,223.17,14952.39
PO78437,2025-04-28,Andre Warren,andre.warren@alphatech.com,Charles Palmer,charles.palmer@deltasup.com,AlphaTech,Between Nearly,78,174.51,13611.78
PO59105,2025-03-01,Kayla Sharp,kayla.sharp@gammaind.com,Nicholas Cannon,nicholas.cannon@deltasup.com,EpsilonGoods,Paper Have,31,254.36,7885.16
PO38216,2025-06-26,Matthew Cunningham,matthew.cunningham@alphatech.com,Terry Peterson,terry.peterson@epsilongoods.com,BetaCorp,Official Discussion,16,427.64,6842.24
PO62432,2025-05-09,Laura Tanner,laura.tanner@betacorp.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,BetaCorp,Your Leave,100,250.49,25049.0
PO59865,2024-09-25,Laura Tanner,laura.tanner@betacorp.com,Leslie James,leslie.james@gammaind.com,DeltaSupplies,Edge Friend,100,160.99,16099.0
PO96118,2025-07-19,Laura Tanner,laura.tanner@betacorp.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,GammaIndustries,Son Management,59,36.0,2124.0
PO28077,2024-10-10,Pamela Salazar,pamela.salazar@betacorp.com,Nicholas Cannon,nicholas.cannon@deltasup.com,DeltaSupplies,Popular Show,49,236.98,11612.02
PO34156,2025-05-05,Kenneth Atkins,kenneth.atkins@betacorp.com,Charles Palmer,charles.palmer@deltasup.com,GammaIndustries,Range My,36,363.49,13085.64
PO21383,2024-12-02,Pamela Salazar,pamela.salazar@betacorp.com,Leslie James,leslie.james@gammaind.com,DeltaSupplies,Once Guess,90,91.11,8199.9
PO43873,2025-06-16,Kenneth Atkins,kenneth.atkins@betacorp.com,Terry Peterson,terry.peterson@epsilongoods.com,EpsilonGoods,Scientist Accept,92,83.62,7693.04
PO58701,2025-04-04,Chloe Anderson,chloe.anderson@epsilongoods.com,Leslie James,leslie.james@gammaind.com,EpsilonGoods,Must Central,1,25.14,25.14
PO00532,2024-08-20,Kenneth Atkins,kenneth.atkins@betacorp.com,Leslie James,leslie.james@gammaind.com,AlphaTech,Condition Around,98,141.13,13830.74
PO69471,2025-01-10,Chloe Anderson,chloe.anderson@epsilongoods.com,Charles Palmer,charles.palmer@deltasup.com,GammaIndustries,Another Those,44,278.5,12254.0
PO62198,2025-05-09,Renee Nichols,renee.nichols@alphatech.com,Nicholas Cannon,nicholas.cannon@deltasup.com,BetaCorp,Hotel Picture,76,252.12,19161.12
PO30611,2024-11-25,Pamela Salazar,pamela.salazar@betacorp.com,Leslie James,leslie.james@gammaind.com,EpsilonGoods,Especially Special,37,466.07,17244.59
PO02220,2025-03-20,Renee Nichols,renee.nichols@alphatech.com,Nicholas Cannon,nicholas.cannon@deltasup.com,AlphaTech,Less Create,95,423.79,40260.05
PO31591,2025-01-14,Brian Edwards,brian.edwards@alphatech.com,Charles Palmer,charles.palmer@deltasup.com,BetaCorp,Reveal Movement,29,487.83,14147.07
PO19793,2024-08-22,Chloe Anderson,chloe.anderson@epsilongoods.com,Katherine Lee,katherine.lee@alphatech.com,BetaCorp,Probably Clearly,24,204.47,4907.28
PO60975,2024-10-28,Brian Edwards,brian.edwards@alphatech.com,Katherine Lee,katherine.lee@alphatech.com,GammaIndustries,Choose Trip,8,440.12,3520.96
PO37778,2025-02-16,Kenneth Atkins,kenneth.atkins@betacorp.com,Terry Peterson,terry.peterson@epsilongoods.com,GammaIndustries,Arm Painting,74,206.18,15257.32
PO20634,2024-12-05,Kenneth Atkins,kenneth.atkins@betacorp.com,Nicholas Cannon,nicholas.cannon@deltasup.com,GammaIndustries,Like Theory,65,308.54,20055.1
PO89079,2024-11-23,Brandon Smith,brandon.smith@alphatech.com,Terry Peterson,terry.peterson@epsilongoods.com,DeltaSupplies,Important Resource,58,119.11,6908.38
PO42339,2025-06-17,Vicki Moon,vicki.moon@betacorp.com,Charles Palmer,charles.palmer@deltasup.com,GammaIndustries,Recognize Star,41,160.38,6575.58
PO62150,2025-03-18,Renee Nichols,renee.nichols@alphatech.com,Charles Palmer,charles.palmer@deltasup.com,AlphaTech,Education Effect,86,138.97,11951.42
PO76205,2024-10-10,Laura Tanner,laura.tanner@betacorp.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,GammaIndustries,Identify Thank,65,392.04,25482.6
PO72173,2025-07-08,Laura Tanner,laura.tanner@betacorp.com,Terry Peterson,terry.peterson@epsilongoods.com,DeltaSupplies,Job Seat,20,308.02,6160.4
PO69444,2025-05-02,Shannon Smith,shannon.smith@alphatech.com,Terry Peterson,terry.peterson@epsilongoods.com,AlphaTech,Cup Despite,67,453.36,30375.12
PO16997,2024-12-13,Shannon Smith,shannon.smith@alphatech.com,Nicholas Cannon,nicholas.cannon@deltasup.com,DeltaSupplies,Store Stay,34,195.01,6630.34
PO22019,2024-11-26,Laura Tanner,laura.tanner@betacorp.com,Charles Palmer,charles.palmer@deltasup.com,DeltaSupplies,Course Save,74,29.17,2158.58
PO58247,2025-01-16,Helen Perez,helen.perez@deltasup.com,Katherine Lee,katherine.lee@alphatech.com,AlphaTech,Thousand Operation,3,357.1,1071.3
PO43150,2024-08-11,Chloe Anderson,chloe.anderson@epsilongoods.com,Terry Peterson,terry.peterson@epsilongoods.com,EpsilonGoods,Learn Such,6,355.13,2130.78
PO01332,2024-09-06,Chloe Anderson,chloe.anderson@epsilongoods.com,Leslie James,leslie.james@gammaind.com,DeltaSupplies,Past Month,13,287.86,3742.18
PO48281,2025-06-04,Matthew Cunningham,matthew.cunningham@alphatech.com,Katherine Lee,katherine.lee@alphatech.com,AlphaTech,Million Detail,54,53.48,2887.92
PO42286,2024-10-01,Matthew Cunningham,matthew.cunningham@alphatech.com,Nicholas Cannon,nicholas.cannon@deltasup.com,EpsilonGoods,But Fear,22,132.61,2917.42
PO98275,2025-04-25,Shannon Smith,shannon.smith@alphatech.com,Charles Palmer,charles.palmer@deltasup.com,AlphaTech,Too Letter,1,207.12,207.12
PO62930,2025-06-17,Brian Edwards,brian.edwards@alphatech.com,Leslie James,leslie.james@gammaind.com,AlphaTech,Few Nothing,64,122.83,7861.12
PO70825,2025-06-16,Kenneth Atkins,kenneth.atkins@betacorp.com,Nicholas Cannon,nicholas.cannon@deltasup.com,AlphaTech,Close Blood,91,95.1,8654.1
PO67070,2025-04-09,Brian Edwards,brian.edwards@alphatech.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,EpsilonGoods,Tough Assume,73,409.48,29892.04
PO88944,2025-04-01,Renee Nichols,renee.nichols@alphatech.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,GammaIndustries,Apply National,86,494.97,42567.42
PO82616,2024-08-07,Laura Tanner,laura.tanner@betacorp.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,EpsilonGoods,Improve Woman,76,174.79,13284.04
PO89618,2024-12-21,Pamela Salazar,pamela.salazar@betacorp.com,Terry Peterson,terry.peterson@epsilongoods.com,EpsilonGoods,Let Painting,58,180.52,10470.16
PO14306,2025-06-15,Brian Edwards,brian.edwards@alphatech.com,Charles Palmer,charles.palmer@deltasup.com,AlphaTech,Impact Everything,77,65.95,5078.15
PO15837,2025-07-17,Pamela Salazar,pamela.salazar@betacorp.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,AlphaTech,Decision Without,65,173.87,11301.55
PO73151,2025-03-30,Matthew Cunningham,matthew.cunningham@alphatech.com,Terry Peterson,terry.peterson@epsilongoods.com,EpsilonGoods,Even Space,30,188.59,5657.7
PO87924,2024-08-31,Laura Tanner,laura.tanner@betacorp.com,Charles Palmer,charles.palmer@deltasup.com,BetaCorp,Allow Big,58,19.01,1102.58
PO83635,2025-04-26,Laura Tanner,laura.tanner@betacorp.com,Nicholas Cannon,nicholas.cannon@deltasup.com,GammaIndustries,Artist Company,95,188.53,17910.35
PO38666,2025-03-27,Chloe Anderson,chloe.anderson@epsilongoods.com,Charles Palmer,charles.palmer@deltasup.com,AlphaTech,East Pick,15,455.24,6828.6
PO61773,2025-07-03,Andre Warren,andre.warren@alphatech.com,Nicholas Cannon,nicholas.cannon@deltasup.com,DeltaSupplies,Team Film,26,429.51,11167.26
PO81584,2025-04-14,Kenneth Atkins,kenneth.atkins@betacorp.com,Nicholas Cannon,nicholas.cannon@deltasup.com,DeltaSupplies,Maintain Wish,59,45.64,2692.76
PO03823,2024-11-23,Kenneth Atkins,kenneth.atkins@betacorp.com,Terry Peterson,terry.peterson@epsilongoods.com,GammaIndustries,Fine State,55,191.11,10511.05
PO45351,2025-05-17,Helen Perez,helen.perez@deltasup.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,GammaIndustries,Others Into,91,154.98,14103.18
PO28994,2024-12-02,Brandon Smith,brandon.smith@alphatech.com,Charles Palmer,charles.palmer@deltasup.com,AlphaTech,Member Mouth,12,275.08,3300.96
PO07751,2024-11-15,Brian Edwards,brian.edwards@alphatech.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,BetaCorp,Up Add,95,370.41,35188.95
PO28629,2025-03-30,Kayla Sharp,kayla.sharp@gammaind.com,Elizabeth Moyer,elizabeth.moyer@gammaind.com,DeltaSupplies,Look Participant,89,42.97,3824.33
